name,description,total in stock,price,discount
MagSafe Charger,ფერი თეთრი,4,100,-38%
Lenovo HD300 Black,"სახეობა ყურსასმენები, ფერი შავი",2,99,-42%
Lenovo HD800 Black,"სახეობა ყურსასმენები, ფერი შავი",2,129,-36%
ფერადი ფანქარი 24ფ 0728324,"სახეობა ფერადი ფანქარი, რაოდენობა 24 ც",2,12.95,-36%
Patriot DDR3 4GB 1600MHz - PSD34G160081,"1 მოდული, 1600 MHz, CAS დაყოვნება 11T, კვების ძაბვა 1.5 V",2,70,-30%
Baseus Wing Case Apple iPhone XS Max WIAPIPH65-E01 Black,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი შავი",2,13,-41%
Baseus Wing Case Samsung G960 Galaxy S9 WISAS9-02 White,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი თეთრი",2,6.99,-42%
Apple Adapter [MMEL2ZM/A] White,"სახეობა ადაპტერი, USB 3.1 Gen2 Type-C, Thunderbolt 3, ფერი თეთრი",2,149,-35%
Baseus Simplicity Series ARAPIPH58S-01 iPhone 11 Pro Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU)",2,9.1,-58%
Baseus Simplicity Series ARAPIPH58S-02 iPhone 11 Pro Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU)",2,10.9,-50%
Baseus Safety Airbags Case Apple Iphone 11 Pro ARAPIPH58S-SF01 Black,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი შავი",2,8.3,-65%
Baseus Safety Airbags Case Apple Iphone 11 Pro ARAPIPH58S-SF02 Black,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი გამჭვირვალე",2,11.2,-53%
Baseus Safety Airbags Case Apple Iphone 11 Pro Max ARAPIPH65S-SF01 Black,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი შავი, გამჭვირვალე",2,9.9,-34%
Baseus Safety Airbags Case Apple Iphone 11 Pro Max ARAPIPH65S-SF02 Black,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი გამჭვირვალე",2,12.7,-48%
Baseus CATL40-01,"მაგნიტური კონექტორი არა, სახეობა ადაპტერი, USB 2.0 Type-C, 3.5 მმ jack, ფერი ნაცრისფერი",2,16.1,-36%
Baseus CATSW-02,"მაგნიტური კონექტორი არა, USB 2.0 Type-A, USB 2.0 Type-C, კაბელის სიგრძე 1 მ, ფერი თეთრი",2,6.1,-50%
Baseus WIAPIPH58S-01 For iPhone 11 Pro Black,"სახეობა ჩასადები, მასალა სილიკონი, ფერი შავი",2,11.4,-49%
Baseus Wing Case Apple Iphone 11 WIAPIPH61S-01 Black,"სახეობა ჩასადები, მასალა სილიკონი, ფერი შავი",2,10.5,-52%
Fujifilm Instax Films 10X2,ფერი თეთრი,2,79,-34%
Arzum AR1032 Black,"300 W, სახეობა სტაციონარული ბლენდერი, კორპუსის მასალა პლასტმასი, შავი",1,125,-51%
Baseus C-shaped Light Intelligent Power-Off Cable USB For Type-C 3A 1M CATCD-01 Black,"მაგნიტური კონექტორი არა, სახეობა კაბელი, ადაპტერი, USB 2.0 Type-C, კაბელის სიგრძე 1 მ, ფერი შავი",1,24.7,-35%
Baseus Safety Airbags Case Samsung N960 Galaxy Note 9 ARSANOTE9-SF01 Black,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU), ფერი შავი",1,6.99,-70%
Baseus Simple Case Huawei Mate 20 ARHWMATE20-MD02 Transparent,"სახეობა ჩასადები, მასალა სილიკონი, პოლიკარბონატი, პოლიურეთანი; (TPU)",1,6.99,-70%
